GEOID,lat,lon,population
84001,40.345248,-110.273487,661
84002,40.431158,-110.288359,306
84003,40.471654,-111.68059,55259
84004,40.488843,-111.727776,10272
84005,40.322736,-111.999426,49116
84006,40.596926,-112.1238,865
84007,40.345116,-110.203186,452
84008,40.03344,-109.193763,0
84009,40.553454,-112.018129,42091
84010,40.873122,-111.835036,46666
84013,40.295983,-112.094474,719
84014,40.936646,-111.833312,16571
84015,41.120356,-112.060775,70730
84017,40.956239,-111.214298,4420
84018,41.221884,-111.448409,338
84020,40.497673,-111.866118,50159
84021,40.108226,-110.533757,3127
84022,40.350464,-112.640285,516
84023,40.903341,-109.217325,84
84024,41.007673,-111.447161,134
84025,40.975812,-111.899335,25055
84026,40.294056,-109.845098,645
84027,40.15519,-110.777931,664
84028,41.937391,-111.389504,667
84029,40.572887,-112.953253,14159
84031,40.650103,-110.656708,190
84032,40.369309,-111.187015,25328
84033,40.979974,-111.49149,1002
84034,39.992371,-113.878933,144
84035,40.408831,-109.292489,515
84036,40.699219,-111.020425,8781
84037,41.02248,-111.948762,39316
84038,41.892017,-111.263545,589
84039,40.440132,-109.812742,585
84040,41.091695,-111.897185,28269
84041,41.069929,-111.981255,54750
84042,40.341125,-111.724706,11570
84043,40.411552,-111.87428,81839
84044,40.736085,-112.121213,29488
84045,40.292383,-111.928756,43369
84046,40.952558,-109.796276,651
84047,40.615317,-111.891815,36573
84049,40.504123,-111.513399,6926
84050,41.024099,-111.664031,12247
84051,40.389463,-110.427015,452
84052,40.166509,-109.997739,1183
84053,40.434984,-109.986655,693
84054,40.838644,-111.91785,22201
84055,40.745066,-111.149113,1805
84056,41.129126,-111.99193,3644
84057,40.314256,-111.709495,37620
84058,40.274761,-111.714706,34706
84059,40.303539,-111.748581,16419
84060,40.644391,-111.506642,8575
84061,40.764039,-111.318822,315
84062,40.383842,-111.681871,47489
84063,40.211814,-109.694218,264
84064,41.682918,-111.112032,890
84065,40.493936,-111.943725,50284
84066,40.346286,-110.067282,14626
84067,41.171885,-112.048033,38795
84069,40.365189,-112.485465,425
84070,40.577114,-111.889106,30348
84071,40.353814,-112.267902,2339
84072,40.364041,-110.632985,411
84073,40.345859,-110.41634,189
84074,40.582074,-112.303592,57470
84075,41.056525,-112.069852,34118
84076,40.447153,-109.840165,477
84078,40.465526,-109.510856,30669
84080,40.033229,-112.451892,414
84081,40.602762,-112.038247,52168
84082,40.340345,-111.361662,815
84083,40.817789,-113.739568,1264
84084,40.621392,-111.966054,31389
84085,40.578587,-109.924987,233
84086,41.417628,-111.201226,442
84087,40.889116,-111.92823,17028
84088,40.59507,-111.960812,38915
84092,40.551993,-111.7148,28162
84093,40.594711,-111.828542,23998
84094,40.571647,-111.861939,28277
84095,40.558566,-111.941674,38240
84096,40.487037,-112.099983,71115
84097,40.304692,-111.673174,22024
84098,40.746854,-111.532877,20311
84101,40.756311,-111.899962,8329
84102,40.75989,-111.863618,19145
84103,40.803408,-111.847108,23796
84104,40.749441,-111.981537,24057
84105,40.738346,-111.859829,22963
84106,40.706768,-111.855726,33791
84107,40.658017,-111.884519,37548
84108,40.80904,-111.727516,21951
84109,40.705812,-111.704544,25879
84111,40.755812,-111.884261,12446
84112,40.765254,-111.841362,2738
84113,40.762733,-111.832849,256
84114,40.777946,-111.888256,0
84115,40.714767,-111.892689,28411
84116,40.867238,-112.025095,37136
84117,40.66167,-111.835629,24873
84118,40.656001,-112.038127,41969
84119,40.700258,-111.946425,50745
84120,40.69686,-112.001744,50589
84121,40.616981,-111.686812,39204
84123,40.658368,-111.921749,36913
84124,40.677751,-111.797558,22992
84128,40.7052,-112.04257,32072
84129,40.653577,-111.962063,38128
84138,40.766735,-111.887272,0
84150,40.7715,-111.891064,7
84180,40.770444,-111.901105,0
84301,41.613619,-112.127191,863
84302,41.584713,-112.051612,26711
84304,41.821842,-111.979131,108
84305,41.943813,-112.06436,612
84306,41.784766,-112.053817,362
84307,41.480119,-112.537206,1377
84308,41.966388,-111.967628,253
84309,41.713846,-112.099135,791
84310,41.335387,-111.846823,5002
84311,41.820132,-112.110569,902
84312,41.7773,-112.156094,5070
84313,41.367926,-113.682487,29
84314,41.649382,-112.092944,1011
84315,41.167508,-112.137773,9694
84316,41.778746,-112.448024,323
84317,41.307551,-111.620162,2814
84318,41.801665,-111.804226,5468
84319,41.593349,-111.660033,10490
84320,41.952943,-111.852109,2773
84321,41.774813,-111.712761,49811
84322,41.758224,-111.812556,0
84324,41.494331,-111.941164,1642
