GEOID,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG,population
00601,166848592,798613,64.421,0.308,18.180555,-66.749961,16721
00602,78546711,4428428,30.327,1.71,18.361945,-67.175597,37510
00603,88980555,6253316,34.356,2.414,18.457399,-67.124867,48317
00606,114825641,12228,44.334,0.005,18.158327,-66.932928,5435
00610,96150194,4289688,37.124,1.656,18.295304,-67.12518,25413
00611,27570859,3631,10.645,0.001,18.276316,-66.807165,1522
00612,197202755,15258391,76.14,5.891,18.416727,-66.70009,62462
00616,28189755,143499,10.884,0.055,18.420412,-66.671979,9836
00617,47538644,1692937,18.355,0.654,18.446889,-66.561154,22699
00622,80724807,19583150,31.168,7.561,17.988103,-67.160357,7950
00623,101522969,14192149,39.198,5.48,18.084371,-67.158765,39005
00624,121625753,15385598,46.96,5.94,18.051808,-66.721711,21374
00627,120095654,3506587,46.369,1.354,18.412507,-66.863811,32753
00631,8095944,709369,3.126,0.274,18.184294,-66.830795,1357
00636,949819,0,0.367,0.,18.1636,-67.080097,1071
00637,91091116,26242,35.17,0.01,18.080103,-66.947975,22884
00638,184928682,478957,71.401,0.185,18.280188,-66.513111,17410
00641,217850442,3453794,84.113,1.334,18.268074,-66.701785,23962
00646,54524893,3254763,21.052,1.257,18.432897,-66.286499,36099
00647,40949567,7963090,15.811,3.075,17.963613,-66.947127,4611
00650,82152703,551695,31.719,0.213,18.349209,-66.578112,13457
00652,16685216,58059,6.442,0.022,18.44844,-66.59411,4492
00653,57201262,5275491,22.086,2.037,17.988642,-66.90169,8665
00656,109154224,10484886,42.145,4.048,18.040426,-66.789672,17815
00659,106336154,3046729,41.057,1.176,18.407226,-66.808999,37203
00660,29314499,481,11.318,0.,18.134695,-67.116199,15439
00662,106890486,5320908,41.271,2.054,18.468301,-67.015749,40705
00664,121495188,3318,46.91,0.001,18.21033,-66.591616,14816
00667,155914156,28249387,60.199,10.907,18.003422,-67.03581,23116
00669,166051225,88978,64.113,0.034,18.276925,-66.869587,27534
00670,120455393,375649,46.508,0.145,18.233585,-66.987585,8553
00674,112542705,6882620,43.453,2.657,18.424145,-66.487895,39288
00676,126528238,56474,48.853,0.022,18.381597,-67.080884,36836
00677,37733228,3594732,14.569,1.388,18.332568,-67.227022,15432
00678,75473613,4721793,29.141,1.823,18.430503,-66.930479,24848
00680,166550170,19822248,64.305,7.653,18.183493,-67.133054,42817
00682,42242062,8060474,16.31,3.112,18.224864,-67.153891,29939
00683,127658099,29099,49.289,0.011,18.1078,-67.037263,29431
00685,203807490,1133210,78.691,0.438,18.336887,-66.972929,40323
00687,100676192,139537,38.871,0.054,18.318017,-66.420392,28534
00688,84185262,70186,32.504,0.027,18.382311,-66.626416,10985
